time_ns,cycle,freq_step,f_word_hex,freq_hz,wave_out,step_sync
8050,397,0,0x051eb851,999999,90,0
8070,398,0,0x051eb851,999999,97,0
8090,399,0,0x051eb851,999999,104,0
8110,400,0,0x051eb851,999999,112,0
8130,401,0,0x051eb851,999999,119,0
8150,402,0,0x051eb851,999999,127,0
8170,403,0,0x051eb851,999999,135,0
8190,404,0,0x051eb851,999999,143,0
8210,405,0,0x051eb851,999999,151,0
8230,406,0,0x051eb851,999999,158,0
8250,407,0,0x051eb851,999999,165,0
8270,408,0,0x051eb851,999999,171,0
8290,409,0,0x051eb851,999999,177,0
8310,410,0,0x051eb851,999999,181,0
8330,411,0,0x051eb851,999999,185,0
8350,412,0,0x051eb851,999999,188,0
8370,413,0,0x051eb851,999999,190,0
8390,414,0,0x051eb851,999999,191,0
8410,415,0,0x051eb851,999999,191,0
8430,416,0,0x051eb851,999999,190,0
8450,417,0,0x051eb851,999999,188,0
8470,418,0,0x051eb851,999999,185,0
8490,419,0,0x051eb851,999999,181,0
8510,420,0,0x051eb851,999999,177,0
8530,421,0,0x051eb851,999999,171,0
8550,422,0,0x051eb851,999999,165,0
8570,423,0,0x051eb851,999999,158,0
8590,424,0,0x051eb851,999999,151,0
8610,425,0,0x051eb851,999999,143,0
8630,426,0,0x051eb851,999999,136,0
8650,427,0,0x051eb851,999999,128,0
8670,428,0,0x051eb851,999999,120,0
8690,429,0,0x051eb851,999999,112,0
8710,430,0,0x051eb851,999999,104,0
8730,431,0,0x051eb851,999999,97,0
8750,432,0,0x051eb851,999999,90,0
8770,433,0,0x051eb851,999999,84,0
8790,434,0,0x051eb851,999999,78,0
8810,435,0,0x051eb851,999999,74,0
8830,436,0,0x051eb851,999999,70,0
8850,437,0,0x051eb851,999999,67,0
8870,438,0,0x051eb851,999999,65,0
8890,439,0,0x051eb851,999999,64,0
8910,440,0,0x051eb851,999999,64,0
8930,441,0,0x051eb851,999999,65,0
8950,442,0,0x051eb851,999999,67,0
8970,443,0,0x051eb851,999999,70,0
8990,444,0,0x051eb851,999999,74,0
9010,445,0,0x051eb851,999999,78,0
9030,446,0,0x051eb851,999999,84,0
9050,447,0,0x051eb851,999999,90,0
9070,448,0,0x051eb851,999999,97,0
9090,449,0,0x051eb851,999999,104,0
9110,450,0,0x051eb851,999999,112,0
9130,451,0,0x051eb851,999999,119,0
9150,452,0,0x051eb851,999999,127,0
9170,453,0,0x051eb851,999999,135,0
9190,454,0,0x051eb851,999999,143,0
9210,455,0,0x051eb851,999999,151,0
9230,456,0,0x051eb851,999999,158,0
9250,457,0,0x051eb851,999999,165,0
9270,458,0,0x051eb851,999999,171,0
9290,459,0,0x051eb851,999999,177,0
9310,460,0,0x051eb851,999999,181,0
9330,461,0,0x051eb851,999999,185,0
9350,462,0,0x051eb851,999999,188,0
9370,463,0,0x051eb851,999999,190,0
9390,464,0,0x051eb851,999999,191,0
9410,465,0,0x051eb851,999999,191,0
9430,466,0,0x051eb851,999999,190,0
9450,467,0,0x051eb851,999999,188,0
9470,468,0,0x051eb851,999999,185,0
9490,469,0,0x051eb851,999999,181,0
9510,470,0,0x051eb851,999999,177,0
9530,471,0,0x051eb851,999999,171,0
9550,472,0,0x051eb851,999999,165,0
9570,473,0,0x051eb851,999999,158,0
9590,474,0,0x051eb851,999999,151,0
9610,475,0,0x051eb851,999999,143,0
9630,476,0,0x051eb851,999999,136,0
9650,477,0,0x051eb851,999999,128,0
9670,478,0,0x051eb851,999999,120,0
9690,479,0,0x051eb851,999999,112,0
9710,480,0,0x051eb851,999999,104,0
9730,481,0,0x051eb851,999999,97,0
9750,482,0,0x051eb851,999999,90,0
9770,483,0,0x051eb851,999999,84,0
9790,484,0,0x051eb851,999999,78,0
9810,485,0,0x051eb851,999999,74,0
9830,486,0,0x051eb851,999999,70,0
9850,487,0,0x051eb851,999999,67,0
9870,488,0,0x051eb851,999999,65,0
9890,489,0,0x051eb851,999999,64,0
9910,490,0,0x051eb851,999999,64,0
9930,491,0,0x051eb851,999999,65,0
9950,492,0,0x051eb851,999999,67,0
9970,493,0,0x051eb851,999999,70,0
9990,494,0,0x051eb851,999999,74,0
10010,495,0,0x051eb851,999999,78,0
10030,496,0,0x051eb851,999999,84,0
10050,497,0,0x051eb851,999999,90,0
10070,498,0,0x051eb851,999999,97,0
10090,499,0,0x051eb851,999999,104,0
10110,500,0,0x0a3d70a2,1999999,112,1
10130,501,1,0x0a3d70a2,1999999,119,0
10150,502,1,0x0a3d70a2,1999999,127,0
10170,503,1,0x0a3d70a2,1999999,128,0
10190,504,1,0x0a3d70a2,1999999,143,0
10210,505,1,0x0a3d70a2,1999999,158,0
10230,506,1,0x0a3d70a2,1999999,171,0
10250,507,1,0x0a3d70a2,1999999,181,0
10270,508,1,0x0a3d70a2,1999999,188,0
10290,509,1,0x0a3d70a2,1999999,191,0
10310,510,1,0x0a3d70a2,1999999,190,0
10330,511,1,0x0a3d70a2,1999999,185,0
10350,512,1,0x0a3d70a2,1999999,177,0
10370,513,1,0x0a3d70a2,1999999,165,0
10390,514,1,0x0a3d70a2,1999999,151,0
10410,515,1,0x0a3d70a2,1999999,136,0
10430,516,1,0x0a3d70a2,1999999,120,0
10450,517,1,0x0a3d70a2,1999999,104,0
10470,518,1,0x0a3d70a2,1999999,90,0
10490,519,1,0x0a3d70a2,1999999,78,0
10510,520,1,0x0a3d70a2,1999999,70,0
10530,521,1,0x0a3d70a2,1999999,65,0
10550,522,1,0x0a3d70a2,1999999,64,0
10570,523,1,0x0a3d70a2,1999999,67,0
10590,524,1,0x0a3d70a2,1999999,74,0
10610,525,1,0x0a3d70a2,1999999,84,0
10630,526,1,0x0a3d70a2,1999999,97,0
10650,527,1,0x0a3d70a2,1999999,112,0
10670,528,1,0x0a3d70a2,1999999,127,0
10690,529,1,0x0a3d70a2,1999999,143,0
10710,530,1,0x0a3d70a2,1999999,158,0
